Imp_Value,Importer,Product,Exporter,Trade_Year,Duty_Type,Simple_Avg_Tariff,GDP_Importer,GDP_Exporter,Distance,NTB_Importer,NTB_Exporter,CPTPP_TC,CPTPP_TD1,CPTPP_TD2,IMP_1,IMP_2,IMP_3,IMP_4,IMP_5,IMP_6,IMP_7,IMP_8,IMP_9,IMP_10,IMP_11,IMP_12,EXP_1,EXP_2,EXP_3,EXP_4,EXP_5,EXP_6,EXP_7,EXP_8,EXP_9,EXP_10,EXP_11,EXP_12,LL,Log_Imports,Log_GDP_Imp,Log_GDP_Exp,Log_Dist,Log_NTB_Imp,Log_NTB_Exp,Log_Tariff,COB
366.179,Australia,OAP - Animal products nec,Chile,2018,MFN,2.5,1428529571,295402652,12726,3.5,1.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.563693434,9.154889235,8.47041439,4.104691919,0.5440680444,0.1139433523,0.3979400087,0
379.291,Australia,OAP - Animal products nec,India,2018,MFN,0,1428529571,2702929719,7809,3.5,4.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.578972538,9.154889235,9.431834753,3.892595423,0.5440680444,0.69019608,#NUM!,0
2075.77,Australia,OAP - Animal products nec,Malaysia,2018,MFN,0,1428529571,358791513.2,4743,3.5,2.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.317179231,9.154889235,8.554842162,3.676053125,0.5440680444,0.3802112417,#NUM!,0
56374.666,Australia,OAP - Animal products nec,New Zealand,2018,MFN,0.25,1428529571,211953111,4157,3.5,2.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.751083982,9.154889235,8.326239795,3.618780025,0.5440680444,0.3979400087,-0.6020599913,0
212.745,Australia,OAP - Animal products nec,Singapore,2018,MFN,0,1428529571,376998146.5,4374,3.5,2.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.327859362,9.154889235,8.576339215,3.640878779,0.5440680444,0.414973348,#NUM!,0
89.545,Australia,OAP - Animal products nec,Vietnam,2018,MFN,0.83,1428529571,308702086.8,5170,3.5,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.952041341,9.154889235,8.489539565,3.713490543,0.5440680444,0.6989700043,-0.08092190762,0
112553.213,Australia,"ELE - Computer, electronic and optical products",Australia,2018,MFN,0.78,1428529571,1428529571,0,3.5,3.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.051357897,9.154889235,9.154889235,#NUM!,0.5440680444,0.5440680444,-0.1079053973,0
116.132,Australia,"ELE - Computer, electronic and optical products",Brunei,2018,MFN,0,1428529571,13567351.18,3899,3.5,2.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.064951905,9.154889235,7.132495067,3.590953235,0.5440680444,0.3802112417,#NUM!,0
169438.425,Australia,"ELE - Computer, electronic and optical products",Canada,2018,MFN,0.88,1428529571,1725329193,14143,3.5,4.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.229011906,9.154889235,9.236871971,4.150541541,0.5440680444,0.6232492904,-0.05551732785,0
490.541,Australia,"ELE - Computer, electronic and optical products",Chile,2018,MFN,0.8,1428529571,295402652,12726,3.5,1.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.690675312,9.154889235,8.47041439,4.104691919,0.5440680444,0.1139433523,-0.09691001301,0
58380.257,Australia,"ELE - Computer, electronic and optical products",India,2018,MFN,0.75,1428529571,2702929719,7809,3.5,4.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.766266002,9.154889235,9.431834753,3.892595423,0.5440680444,0.69019608,-0.1249387366,0
661757.289,Australia,"ELE - Computer, electronic and optical products",Japan,2018,MFN,0.74,1428529571,5037835383,6848,3.5,3.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.820698734,9.154889235,9.702243972,3.835563752,0.5440680444,0.5185139399,-0.1307682803,0
1310855.067,Australia,"ELE - Computer, electronic and optical products",Malaysia,2018,MFN,0.87,1428529571,358791513.2,4743,3.5,2.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.117554677,9.154889235,8.554842162,3.676053125,0.5440680444,0.3802112417,-0.06048074738,0
